21,0021.jpg,Tête phrénologique,Diagnostic,Neurologie,40,"Tête phrénologique en plâtre blanc devenu gris avec le temps, nécessite une restauration.",,Fin XIXème s.,aurait besoin d’être restaurée,Sans mention,Plâtre,"Institut de physiologie, CMU Genève"
5018,5018.jpg,Albuminimètre,Diagnostic,,40,"3 albuminimètre du Dr Esbach (un dans un étui en bois), pour déterminer la quantité d’albumine dans l’urine.",,Première moitié du XXème s.,,Sans mention,,"Pharmacie du Prieuré, Orbe"
674,0674.jpg,Sphygmomanomètre Sahli,Diagnostic,,40,"Etui noir à deux fermoirs dorés, intérieur de satin et velours violet.Contient:- un tube gradué- un petit tube en verre contenant du mercure et poudre rouille- pièce centrale à deux coudes- autre tube",,,,"E. F. Büchi & Söhne, Bern",,
204,0204.jpg,Sphygmomanomètre,Diagnostic,,40,"Sphygmonamomètre. Inscription: “Dr. Dudgeons. Sphygmograph. J. Ganter Maker. 12 Crauford Street. London. W. No 139”La sphygmologie (du grec spygmos, le battement) figure parmi les plus anciens modes de diagnostic dans toutes les cultures, aussi bien égyptienne, grecque, arabe, indienne et chinoise qu’occidentale. Le pouls est non seulement considéré comme signe évident de vie, mais encore comme un indicateur précieux de maladie.  Les premiers appareils enregistreurs de pouls sont introduits par Karl von Vierordt (1853) et Etienne-Jules Marey (1859) Lourds et encombrants, ils sont perfectionnés plusieurs fois jusqu’en 1881, année où le médecin homéopathe anglais Robert Ellis Dudgeon (1820-1904), conçoit un appareil sensible et compact, qui se fixe facilement au poignet par un lacet. L’instrument est composé d’une série de leviers amplifiant les pulsations de l’artère radiale et les transmettant à une aiguille grattant un papier fumé de 15 cm x 2,5 cm tiré par un mouvement d’horloge mécanique et défilant en dix secondes. Le cadran, gradué en ounces, permet de régler la pression exercée sur l’artère par le levier, sans écraser le pouls.",,1881,bon.," J. Ganter Maker, London",,
28,0028.jpg,Tensiomètre,Diagnostic,,40,Tensiomètre manuel avec étui.,,,bon.,,,
4,0004.jpg,Stéthoscope monoaural,Diagnostic,,40,,,20e s.,Bon,Sans marque,,
5,0005.jpg,Stéthoscope,Diagnostic,,40,,,,,,,
10,0010.jpg,Stéthoscope monoaural,Diagnostic,,40,,,20e s.,Bon,Sans marque,,
148,0148.jpg,Stéthoscope monoaural,Diagnostic,,40,,,20e s.,Bon,Sans marque,,
167,0167.jpg,Marteau à réflexe,Diagnostic,,40,,,20e s.,,Sans marque,,
246,0246.jpg,,Diagnostic,,40,,,,,,,
438,0438.jpg,Abaisse-langue,Diagnostic,,40,,,20e s.,Bon,"Margot & Jeannet, Lausanne ",,
428,IHM-0428.jpg,Marteau à réflexe,Diagnostic,,40,,,20e s.,Bon,Sans marque,,
429,IHM-0429.jpg,Marteau à réflexe,Diagnostic,,40,,,20e s.,Bon,Sans marque,,
430,IHM-0430.jpg,Thermomètre,Diagnostic,,40,"Thermomètre rond en métal, gradué de 34 à 42 degrés Celsius, marqué “Cary”(déjà inventorié par Suzanne en 2008)",,20e s.,Bon,Cory Eisenhut Basel Swissmade,,
431,IHM-0431.jpg,Abaisse langue en corne,Diagnostic,,40,,,20e s.,Bon,Sans marque,,
432,IHM-0432.jpg,Abaisse-langue,Diagnostic,,40,,,20e s.,Bon,Dalacin C,,
433,IHM-0433.jpg,Dynamomètre,Diagnostic,,40,,,20e s.,Bon,Sans marque,,
434,IHM-0434.jpg,Marteau à réflexe,Diagnostic,,40,,,20e s.,Bon,Fabriquant à identifier,,
435,IHM-0435.jpg,Marteau à réflexe rétractable,Diagnostic,,40,,,20e s.,Bon,W. Margot & Cie,,
436,IHM-0436.jpg,Lot de deux abaisses-langue,Diagnostic,,40,,,20e s.,Bon,Bismocetine Lepetit,,
437,IHM-0437.jpg,Marteau à réflexe avec pinceau et aiguille,Diagnostic,,40,,,20e s.,Bon,Aesculap,,
438,IHM-0438.jpg,Abaisse-langue,Diagnostic,,40,,,20e s.,Bon,Margot & Jeannet Lausanne,,
439,IHM-0439.jpg,Abaisse-langue,Diagnostic,,40,,,20e s.,Bon,"Margot & Jeannet, Lausanne ",,
440,IHM-0440.jpg,Abaisse-langue,Diagnostic,,40,,,20e s.,Bon,Aesculap,,
441,IHM-0441.jpg,Abaisse-langue,Diagnostic,,40,,,20e s.,Bon,Aesculap,,
442,IHM-0442.jpg,Abaisse-langue,Diagnostic,,40,,,20e s.,Bon,Aesculap,,
443,IHM-0443.jpg,Abaisse-langue,Diagnostic,,40,,,20e s.,Bon,W. Margot & Cie,,
444,IHM-0444.jpg,Lot de trois abaisses-langue en verre,Diagnostic,,40,,,20e s.,Bon,Sans marque,,
445,IHM-0445.jpg,Thermomètre,Diagnostic,,40,,,20e s.,Bon,Sans marque,,
605,IHM-0605.jpg,Stéthoscope monaural,Diagnostic,Médecine générale,40,Stéthoscope monaural en bois clair.,,20e s.,,,,
652,IHM-0652.jpg,Papier d’enregistrement pour électrocardiogramme (ECG),Diagnostic,,40,"Boîte contenant des papiers d’enregistrement pour ECG, plié en Z, 18m de long, largeur 32 mm, thermoréactif.",,20e s.,,"Schiller, Switzerland",,
308,IHM-0308.jpg,Sphygmographe,,,40,Smygmographe dans étui. Inscription sur le couvercle: “Sphygmographe de Marey”,,,bon.,,,
310,IHM-0310.jpg,Sphygmoraphe,,,40,Sphygmoraphe dans étui. Etiquette à l’intérieur “Réparée et révision complète juin 1962”,,,bon.,,,
311,IHM-0311.jpg,Sphygmoraphe,,,40,Sphygmoraphe dans étui.,,,bon.,,,
637,IHM-0637.jpg,Stéthoscope,,,40,Stéthoscope dont il manque le tube caoutchouc.,,20e s.,,,,
