RERO-15749168,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10781/1 DV,HMA 10781/4 | DV,Book,None,2014-06-11,1000 - Consult. surv. 28 j.,Storia della medicina in Italia,"De Renzi, Salvatore",A Forni,Bologna :,1988,,DV
RERO-15749173,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10781/1 DV,HMA 10781/5 | DV,Book,None,2014-06-11,1000 - Consult. surv. 28 j.,Storia della medicina in Italia,"De Renzi, Salvatore",A Forni,Bologna :,1988,,DV
1094683943,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 11906 DHNIS,,Book,None,2003-10-20,3000 - Prêt 28 j.,100 Jahre Rudolf Nissen,,Schwabe,Basel :,1997,3796510329; 9783796510328,DHNIS
1093066661,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1201 DL,,Book,None,1997-03-03,3000 - Prêt 28 j.,100 Jahre klinische Dermatologie an der Universität Freiburg im Breisgau : 1890 - 1990,"Leven, Karl-Heinz",Albert-Ludwigs-Univ Freiburg Inst für Geschichte der Medizin,Freiburg/Br. :,cop. 1990,,DL
1093073076,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1268 DZ3,,Book,None,1997-03-03,3000 - Prêt 28 j.,100 Jahre Medizinische Universitäts-Poliklinik Basel : 1875 - 1975,,S Karger,Basel :,cop. 1975,3805522800; 9783805522809,DZ3
RERO-16605798,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 12806 Do,HMA 12806+1 | Do,Book,None,2015-05-06,1000 - Consult. surv. 28 j.,"La myrrhe médicinale : le médecin et le sage, les deux faces de la thérapeutique","Sommer, Grégoire",Ed Amphis,[S.l.] :,cop. 2004,2884645519; 9782884645515,Do
1094725438,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 13262 D510,,Book,None,2005-02-02,1000 - Consult. surv. 28 j.,Henri Michaux et la médecine de soi,"Danou, Gérard",Galet Feuilleté,Paris :,2001,,D510
1096896692,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 13428 Z,HMA 13428+1 | Z,Book,None,2014-06-04,1000 - Consult. surv. 28 j.,"La sociologie en médecine : état des connaissances, possibilités d'application et particularités de la situation en Suisse = [Soziologie in der Medizin : Erkenntnisse, Anwendungsmöglichkeiten und spezielle Situation in der Schweiz]","Siegrist, Johannes",Institut Sandoz d'études en matière de santé et d'économie sociale,Genève :,cop. 1982,,Z
1094723845,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 13862 D10,,Book,None,2005-08-25,1000 - Consult. surv. 28 j.,"Préface d'André Vésale à ses livres sur l'anatomie : suivie d'une lettre à Jean Oporinus, son imprimeur","Vesalius, Andreas, 1514-1564",Ed Arscia,Bruxelles :,1961,,D10
1094724240,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14154 D16,,Book,None,2005-11-10,3000 - Prêt 28 j.,100 mots pour comprendre les médicaments : comment on vous soigne,"Dagognet, François",Les Empêcheurs de penser en rond,Paris :,2005,2846710929; 9782846710923,D16
1094724306,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14159 540a,,Book,None,2005-11-10,3000 - Prêt 28 j.,100 mots pour ne pas aller de mal en psy : [choisissez votre itinéraire thérapeutique],"Melchior, Thierry",Les Empêcheurs de penser en rond,Paris :,2003,284671083X; 9782846710831,540a
1094721933,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14710 10a,,Book,None,2006-06-20,3000 - Prêt 28 j.,Discovering cell mechanisms : the creation of modern cell biology,"Bechtel, William",Cambridge Univ Press,Cambridge :,2006,052181247X; 9780521812474,100
1094721302,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14983 A,,Book,None,2006-07-19,3000 - Prêt 28 j.,100 mots pour commencer à penser les sciences,"Stengers, Isabelle",Les empêcheurs de penser en rond,Paris :,2003,2846710546; 9782846710541,A
1094721152,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 15005 70,,Book,None,2006-07-25,1000 - Consult. surv. 28 j.,Raccourcis de médecine sociale et professionnelle,"Berthod, Paul, médecin",Vigot,Paris :,1903,,70
RERO-17259512,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 15582 DC,HMA 15582+1 | DC,Book,None,2015-12-14,1000 - Consult. surv. 28 j.,Medieval Islamic medicine,"Portmann, Peter E",Edinburgh Univ Press,Edinburgh :,2007,9780748620661; 0748620664; 9780748620678; 0748620672,DC
1092979702,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1571 10a,,Book,None,1997-03-03,3000 - Prêt 28 j.,"Ciba Foundation Symposium on bone structure and metabolism : [held in London, 12th-14th July, 1955]",,J & A Churchill,London :,1956,,100
RERO-15165514,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1576 Z20,HMA 1576+1 | Z20,Book,None,2013-11-20,1000 - Consult. surv. 28 j.,La tuberculose dans le canton de Vaud,"Morax, Jean-Marc",sn,[S.l.] :,1912,,Z20
1096896694,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 15978 540a,HMA 15978+1 | 540a,Book,None,2014-06-04,1000 - Consult. surv. 28 j.,La psychanalyse extensive : origines et fondements de la psychothérapie,"Loras, Olivier",Payot,Paris :,1957,,540a
1096113488,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 16112 30,,Book,None,2007-09-12,1000 - Consult. surv. 28 j.,Andreas Vesalius Bruxellensis : The bloodletting letter of 1539 : an annotated translation and study of the evolution of Vesalius's scientific development,"Vesalius, Andreas, 1514-1564",W Heinemann,London :,[1948],,30
VD2369782,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 16710 10,HMA 16710+1 | 10,Book,None,2008-04-14,1000 - Consult. surv. 28 j.,Le corps relégué,,Presses Univ de France,Paris :,2007,9782130564270; 2130564275,10
1096135826,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 18083 72,,Book,None,2009-12-16,1000 - Consult. surv. 28 j.,"The status of world health in outline text and chart : prepared for the Committee on Government Operations, United States Senate and its Subcommittee on Reorganization and International Organizations (pursuant to S. Res. 42, 86th Congress)",,US Govt Printing Office,Washington :,1959,,72
1096157702,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 18528 Do,HMA 18528+1 | Do,Book,None,2010-10-07,1000 - Consult. surv. 28 j.,The symptom and the subject : the emergence of the physical body in ancient Greece,"Holmes, Brooke",Princeton University Press,Princeton :,2010,9780691138992; 0691138990,Do
1096157920,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 18708 10a,,Book,None,2010-06-23,3000 - Prêt 28 j.,Körperteile - Körper teilen ?,,Königshausen & Neumann,Würzburg :,2009,9783826042560; 3826042565,100
1096160517,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19713 D88,,Book,None,,,Avertissement lors du prêt: Livre en très mauvais état.,2011-10-06,1000 - Consult. surv. 28 j.,Les gueules cassées  : les blessés de la face de la Grande Guerre,"Delaporte, Sophie",Noêsis,Paris :,1996,291160606X; 9782911606069,D88
1096620420,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19754 77,,Book,None,2011-10-11,1000 - Consult. surv. 28 j.,Über Todesursachen und den Tod,"Meyenburg, Hans",,77
RERO-16605839,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19818 D45,HMA 19818+1 | D45,Book,None,2015-05-06,1000 - Consult. surv. 28 j.,Transplantation von Organen : von der Mythologie bis zur erlebten Gegenwart,"Largiadèr, Felix",EMH Verlag,Basel :,2010,9783037540510; 3037540516,D45
1096621414,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20181 27,,Book,None,2012-02-23,3000 - Prêt 28 j.,100 SSO : 1886-1986,,Auslfg Berichthaus; SSO,Zürich :,cop. 1986,,27
RERO-15986183,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20472 72,HMA 20472+1 | 72,Book,None,2014-08-19,1000 - Consult. surv. 28 j.,Voluntary action and illegal drugs : health and society in Britain since the 1960s,"Mold, Alex",Palgrave Macmillan,Basingstoke :,2010,9780230521407; 0230521401,72
1094082401,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20491/3 Da,,Book,None,1998-07-22,1000 - Consult. surv. 28 j.,Annales médico-psychologiques : table générale et alphabétique : 1879-1930,,Masson,Paris :,[ca 1940],,Da
1094082402,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20491/4 Da,,Book,None,1998-07-22,1000 - Consult. surv. 28 j.,Annales médico-psychologiques : table générale et alphabétique : 1931-1950,,Masson,Paris :,[ca 1960],,Da
1096622348,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20592 45l,,Book,None,2012-07-11,1000 - Consult. surv. 28 j.,Ausscheidung von Silikon durch die Nieren,"Denes, Arthur",sn,Basel :,1965,,459
1096622329,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20641 30,,Book,None,2012-07-12,3000 - Prêt 28 j.,100 cases for students of medicine,,Churchill Livingstone,Edinburgh :,1991,0443044880; 9780443044885,30
1096622320,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20668 30q,,Book,None,2012-07-19,1000 - Consult. surv. 28 j.,Untersuchungen über die quantitative Bestimmung des menschlichen Plasmins und seiner Hemmstoffe in vitro,"Caviezel, Otto",,30q
1096622294,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20697 35,,Book,None,2012-07-25,1000 - Consult. surv. 28 j.,Zur Isolierung obligat anaerober gramnegativer Stäbchen aus dem Stuhl gesunder Erwachsener und ihre Klassifizierungsmöglichkeiten,"Lobrinus, Alfred",sn,Hamburg :,1963,,35
1096622217,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20758 10a,,Book,None,2012-08-16,3000 - Prêt 28 j.,Biologie cellulaire,"Obré, Albert",G Doin,Paris :,1960,,100
1096622219,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20771 F,,Book,None,2012-08-16,1000 - Consult. surv. 28 j.,Médecine MCMLX,,Payot,Lausanne :,[ca 1960],,F
1096896678,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2078 35u,HMA 2078+1 | 35u,Book,None,2014-06-05,1000 - Consult. surv. 28 j.,Les syndromes d'imprégnation tuberculeuse,"Burnand, René",Masson,Paris :,1938,,35u
1092619284,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 208 DhbSTI,,Book,None,1997-03-03,1000 - Consult. surv. 28 j.,Le Docteur Henri Stilling : sa vie et ses oeuvres,"Morax, René",R Helleu,Paris :,1913,,DhbSTI
1096623137,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20847 DG,,Book,None,2012-09-13,1000 - Consult. surv. 28 j.,Histoire critique de la médecine dans l'Antiquité,"Rist, Edouard",Les amis d'Edouard Rist,Paris :,1966,,DG
1096623130,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20854/1 D35u,,Book,None,2012-09-19,1000 - Consult. surv. 28 j.,Index bibliographique des travaux du Docteur R. Burnand,,sn,[S.l.] :,1926,,D35u
1096623113,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20854/1 D35u,HMA 20854/3 | D35u,Book,None,2012-10-03,1000 - Consult. surv. 28 j.,Index bibliographique des travaux du Docteur R. Burnand,,sn,[S.l.] :,1926,,D35u
1096623126,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20854/2 D35u,,Book,None,2012-09-25,1000 - Consult. surv. 28 j.,"Un cas de tuberculose grave traitée par le pneumothorax artificiel : communication à la Société des médecins de Leysin, le 25 janvier 1912","Adad, M.",,D35u
1096623083,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20854/5 D35u,,Book,None,2012-10-18,1000 - Consult. surv. 28 j.,Introduction à l'étude des accidents périodiques dans le cours de la tuberculose,"Burnand, René",,D35u
RERO-16442364,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20986 D72,HMA 20986+1 | D72,Book,None,2015-03-06,1000 - Consult. surv. 28 j.,Aux sources de La solidarité : naissance et développement d'un mouvement d'action sociale au coeur du canton de Vaud,"Fragnière, Jean-Pierre",Ed Socialinfo,Lausanne :,2012,,D72
1096623762,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21068 D550,,Book,None,2012-10-25,1000 - Consult. surv. 28 j.,Die Wandlungen des Psychogenie-Begriffs : historisch-vergleichende Studie zum Leib-Seele-Problem,"Buess, Heinrich",W Döhnel,Hölstein :,1940,,D550
1096624065,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21375 30c,,Book,None,2013-01-23,1000 - Consult. surv. 28 j.,Quelques observations concernant le rythme nycthéméral dans le foie,"Anker, René",Impr typo-litho moderne,Lausanne :,1939,,3003
1096624357,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21377 30c,,Book,None,2013-01-24,1000 - Consult. surv. 28 j.,Die Appendicitis als eine epidemische infectiöse Erkrankung (Vorläufige Notiz),"Goluboff, N. F.",,3003
1096624358,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21378 30b,,Book,None,2013-01-24,1000 - Consult. surv. 28 j.,"Die Wachstumsverhältnisse der Schilddrüse im Schulalter, nach Halsumfang und Halsdurchmesser beurteilt","Golergant, Haim",,30b
1096624326,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21426 10a,,Book,None,2013-01-31,3000 - Prêt 28 j.,Histologie und mikroskopische Anatomie des Menschen : mit Berücksichtigung der Histophysiologie und der mikroskopischen Diagnostik,"Bucher, Otto, Prof. de médecine",H Huber,Bern :,1948,,100
1096624302,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21443 30b,,Book,None,2013-02-07,1000 - Consult. surv. 28 j.,"La terramycine, nouvel antibiotique fungique","Deschamps, Marcel François",Arnette,Paris :,1951,,30b
1096624301,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21444 35u,,Book,None,2013-02-07,1000 - Consult. surv. 28 j.,Contribution à l'étude des effets biologiques d'un lipopolysaccharide d'origine bactérienne dans la tuberculose pulmonaire,"Tatti, Vincenzo",S Karger,Bâle ;,1960,,35u
1096624300,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21445 22,,Book,None,2013-02-07,1000 - Consult. surv. 28 j.,Contribution à l'étude des actinomycoses : recherches morphologiques et biologiques concernant deux Actinomyces pathogènes pour l'homme et les animaux de laboratoire,"Antonioli, Maurice",Impr des Dernières Nouvelles de Strasbourg,Strasbourg :,1932,,22
1096624299,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21446 30d,,Book,None,2013-02-07,1000 - Consult. surv. 28 j.,Diffusion et hémodialyse à travers une membrane de polyvinyl alcool,"Dayer, Jean-Michel",,"La Neuveville,",1972,,30d
1096624298,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21447 30q,,Book,None,2013-02-07,1000 - Consult. surv. 28 j.,Contribution à l'étude du traitement de la pneumonie et de la broncho-pneumonie par la sulfapyridine basée sur l' observation de 32 cas traités à la Clinique médicale universitaire de Lausanne,"Gruell, Wilhelm",Impr de la Tribune de Genève,Genève :,1943,,30q
1096624297,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21448 30b,,Book,None,2013-02-07,1000 - Consult. surv. 28 j.,Contribution à l'histologie de la glande de Loewenthal,"Grujić, Miroslav",G Thomas,Nancy :,1931,,30b
1096624296,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21449 D16,,Book,None,2013-02-07,1000 - Consult. surv. 28 j.,Sur 92 cas de toxicoses digestives observés à la Clinique infantile universitaire de Lausanne de 1946 à 1950,"Wagner, Claude",M Nijhoff,La Haye :,1952,,D16
1096895013,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21598 16,,Book,None,2013-02-14,1000 - Consult. surv. 28 j.,Untersuchungen über Patentex,"Müller, Erich",C Trute,Quakenbrück :,1938,,16
1096624773,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21675 Ca,,Book,None,2013-04-09,1000 - Consult. surv. 28 j.,Repertorium der handschriftlichen Nachlässe in den Bibliotheken und Archiven der Schweiz = Répertoire sommaire des fonds manuscrits conservés dans les bibliothèques et archives de Suisse = Repertorio sommario dei fondi manoscritti nelle biblioteche e negli archivi della Svizzera,"Schmutz-Pfister, Anne-Marie",Kommissionsverlag Krebs; Allgemeine Geschichtforschende Gesellschaft der Schweiz,[Bern] :,1992,3855134017,Ca
1096624774,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21676 Ca,,Book,None,2013-04-09,1000 - Consult. surv. 28 j.,Manuel analytique et critique de bibliographie générale de l'histoire suisse,"Santschy, Jean-Louis",H Lang,Berne :,1961,,Ca
RERO-14712282,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21784 TPPAN,,Book,None,2013-05-15,1000 - Consult. surv. 28 j.,Doctrine des signatures et technologies graphiques au seuil de la modernité,"Panese, Francesco",,TPPAN
RERO-14712346,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21786 TPPAN,,Book,None,2013-05-15,1000 - Consult. surv. 28 j.,"Entre connaissance et émotion : un épisode de l'histoire du ""sentiment de la nature"" des lumières au romantisme","Panese, Francesco",,TPPAN
RERO-14712390,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21788 TPPAN,,Book,None,2013-05-15,1000 - Consult. surv. 28 j.,"Rationalisation scientifique et images du merveilleux : brève enquête sur la photographie expérimentale des ""esprits"" au tournant du siècle","Panese, Francesco",,TPPAN
1096895829,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21967/1 C,,Book,None,2013-06-20,1000 - Consult. surv. 28 j.,Histoire des sciences de Saint Augustin à Galilée (400-1650),"Crombie, Alistair Cameron",Presses univ de France,Paris :,1959,,C
1096895830,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21967/1 C,HMA 21967/2 | C,Book,None,2013-07-04,1000 - Consult. surv. 28 j.,Histoire des sciences de Saint Augustin à Galilée (400-1650),"Crombie, Alistair Cameron",Presses univ de France,Paris :,1959,,C
1096896137,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22042 D42,,Book,None,2013-08-06,1000 - Consult. surv. 28 j.,ABC... sel : petit glossaire assaisonné,,Musée de la main; Département universitaire de médecine et santé communautaires du CHUV,Lausanne :,2013,9782970052821; 2970052822,D42
1096897946,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22042 D42,HMA 22042+1 | D42,Book,None,2015-01-08,1000 - Consult. surv. 28 j.,ABC... sel : petit glossaire assaisonné,,Musée de la main; Département universitaire de médecine et santé communautaires du CHUV,Lausanne :,2013,9782970052821; 2970052822,D42
RERO-16519459,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22204/1 D,HMA 22204/1+1 | D,Book,None,2015-04-09,1000 - Consult. surv. 28 j.,Storia della medicina,"Pazzini, Adalberto",Societa Editrice Libraria,Milano :,1947,,D
RERO-16519510,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22204/2 D,HMA 22204/2+1 | D,Book,None,2015-04-09,1000 - Consult. surv. 28 j.,Storia della medicina,"Pazzini, Adalberto",Societa Editrice Libraria,Milano :,1947,,D
1096896305,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22333 DMa,,Book,None,2013-11-22,1000 - Consult. surv. 28 j.,Human experimentation and antivivisection in turn-of-the-century America,"Lederer, Susan Marie",University Microfilms,"Ann Arbor, Mich. :",1990,,DMa
1096896307,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22334 DN,,Book,None,2013-11-22,1000 - Consult. surv. 28 j.,Die Medizin der Ayoré-Indianer im Gran Chaco,"Lind, Ulf",K Renner,München :,1974,,DN
1096896752,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22935/3 C,,Book,None,2014-05-27,1000 - Consult. surv. 28 j.,The literary and cultural reception of Charles Darwin in Europe,,Bloomsbury Academic,London :,2014,9781780937465; 1780937466,C
1096896753,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22935/3 C,HMA 22935/4 | C,Book,None,2014-07-15,1000 - Consult. surv. 28 j.,The literary and cultural reception of Charles Darwin in Europe,,Bloomsbury Academic,London :,2014,9781780937465; 1780937466,C
RERO-15710149,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22963 C,,Book,None,2014-05-27,1000 - Consult. surv. 28 j.,Histoire naturelle,"Plinius Secundus, Caius",Gallimard,[Paris] :,2013,9782070129102; 2070129101,C
RERO-16006715,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22999 508,,Book,None,2014-08-25,1000 - Consult. surv. 28 j.,Der Weg zum Psychiater : ein Leid-Faden,"Stucki, Alfred",Rothenhäusler,Stäfa :,c1996,9783907960806; 3907960807,508
RERO-16006792,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 23000 532d,,Book,None,2014-08-25,1000 - Consult. surv. 28 j.,Heimweh und Verbrechen,"Jaspers, Karl",Belleville,München :,1996,9783923646616; 3923646615,532d
RERO-15993345,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 23046 DC,,Book,None,2014-08-20,1000 - Consult. surv. 28 j.,Mamluks and animals : veterinary medicine in medieval Islam,"Alkhateeb Shehada, Housni",Brill,Boston :,2013,9789004234055; 9004234055; 9789004234222; 9004234225,DC
1096896783,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 23071 DV,,Book,None,2014-09-02,1000 - Consult. surv. 28 j.,Sesso e stato : devianza sessuale e interventi istituzionali nell'Ottocento italiano,"Canosa, Romano",Mazzotta,Milano :,1981,9788820203627; 8820203626,DV
1096897589,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 23356 10a,,Book,None,2014-11-27,3000 - Prêt 28 j.,Atlas d'histologie normale : principaux tissus et organes,"Rabaud, Etienne",G Carré et C Naud,Paris :,1900,,100
1096898008,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 23617 600,,Book,Technical - Migration,Status: 108 - EN TRAITEMENT,,,2015-01-15,1000 - Consult. surv. 28 j.,"The fine arts, neurology, and neuroscience : neuro-historical dimensions",,Elsevier,Amsterdam :,2013,9780444627308; 0444627308,600
1096898007,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 23618 600,,Book,Technical - Migration,Status: 108 - EN TRAITEMENT,,,2015-01-15,1000 - Consult. surv. 28 j.,"The fine arts, neurology, and neuroscience : new discoveries and changing landscapes",,Elsevier,Amsterdam :,2013,9780444632876; 0444632875,600
1096898005,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 23620 600,,Book,Technical - Migration,Status: 108 - EN TRAITEMENT,,,2015-01-15,1000 - Consult. surv. 28 j.,"Literature, neurology, and neuroscience : historical and literary connections",,Elsevier,Amsterdam :,2013,9780444632739; 0444632735,600
