Category,Description,Documentation,Domain,Date,Condition,Creator,Materials,ID,Title,Origin
Soins d'hygiène,Urinal en verre pour femme alitée.,,Santé publique,XXème s.,Bon,Sans mention ,Verre,621,Urinal en verre,Diaconie de Vevey
Soins techniques,"Bassin de forme irrégulière en métal émaillé à bords bleus pour réfection des pansements.L’objet porte le label de la marque. Il est illisible mais on distingue les lettres: M,L,G, Co. ",,Soins techniques,XXème s.,Bon,?,Email ,165,Bassin réniforme ,Diaconie de Vevey
Soins techniques,Bassin réniforme pour réfection pansements et usages divers.,,Soins techniques,XXème s.,Bon,“Z”,Email,5334,Bassin réniforme,Diaconie de Vevey
Soins techniques,"Bassin rectangulaire, émaillé à bords bleus avec bec verseur pour la réfection des pansements. L’objet porte au dos un caducet avec la lettre S.",,Soins techniques,XXème s.,Bon,Sans mention ,Email,537,Bassin rectangulaire avec bec verseur,Hôpital Cantonal Lausanne
Soins techniques,"Bac à compresses en tôle émaillée blanche, avec couvercle, pour stocker les compresses.",,Soins techniques,20e s.,Bon ,Sans mention ,Email ,527,Bac à compresses avec couvercle,Hôpital Cantonal Lausanne
Soins d'hygiène,Broc à lavement en émail blanc avec bordure bleue. ,,Santé publique,XXème s.,Bon,Sans mention ,Email,205,Brocs à lavement,Hôpital Cantonal Lausanne
Soins d'hygiène,Bouillotte cylindrique en métal. ,,Soins techniques,XXème s.,Bon,Sans mention ,Métal,174,Bouillote en métal,Diaconie de Vevey
,Tasse à bec dit “canard” pour permettre au patient de boire couché.,,Soins techniques,XXème s.,Bon ,Digoin & Sarreguemines,Porcelaine,633,Tasse à bec en porcelaine,Hôpital Cantonal Lausanne
Soins d'hygiène,Coussin rond en caoutchouc utilisés chez les malades alités pendant une longue période pour éviter les escarres.,,Soins techniques,XXème s.,Bon ,Sans mention ,Caoutchouc,85,Coussin rond en caoutchouc,
Soins d'hygiène,"Poche à glace circulaire, en caoutchouc avec fermoir métal.",,Soins techniques,XXème s.,Bon ,Kebal,Caoutchouc et métal ,564,Poche à glace,Hôpital Cantonal Lausanne
Soins d'hygiène,Poche à glace allongée pour opérer des amygdales.,,Angiologie,XXème s.,Bon ,Sanor,Caoutchouc et métal,565,Poche à glace,Hôpital Cantonal Lausanne
Soins techniques,Cylindre en inox pour pince porte-tampons.,,Soins techniques,XXème s.,Bon ,Favre & Blanc,Métal ,63,Cylindre,Hôpital Cantonal Lausanne
Obstétrique,Appareil de verre avec pièces métalliques pour aspiration du lait chez les mères qui allaitent.,,Pédiatrie,XXème s.,Bon,"Tourtier, Paris ","Verre, caoutchouc, métal",150,Tire-lait “Aspirateur de Tourtier”,Hôpital Cantonal Lausanne
Soins techniques,Lot de sondes à usages multiples.,,Soins techniques,XXème s.,Bon,Sans mention ,Caoutchouc,678,Lot de sondes en caoutchouc,Hôpital Cantonal Lausanne
Soins techniques,Appareil électrique en métal avec: - 2 accessoires en verre - 2 accessoires en métal- 1 prise électrique - 1 récipient en métal - 1 mode d’emploi pour fonctionnement ,,Soins techniques,20e s.,Bon,"Prometheus, A.G.",Métal et verre,5030,"Inhalateur “Prométhée”, type JH 01",
Chirurgie cardiaque,Stimulateur cardiaque implantable simple chambre à fréquence asservie  (SSIR) Thera SR Medtronic.,,,XXème s.,,Medtronic,,-618,Stimulateur cardiaque Thera SR - Pacemaker,
Soins techniques,Bocal en verre avec couvercle pour stocker le coton.,,,20e s.,,Sans mention ,Verre,524,Bocal en verre avec couvercle,Hôpital Cantonal Lausanne
Soins techniques,Bac pour stocker les compresses,,,XXème s.,,,,526,Bac de verre avec couvercle métal,"Dr G. Fatzer, Lausanne"
"Orthopédie, traumatologie",,,,XXème s.,,,,717,Marteau,Hôpital Cantonal Lausanne
"Orthopédie, traumatologie",Scie en métal ,,,XXème s.,,,,720,Scie à amputation,Hôpital Cantonal Lausanne
"Orthopédie, traumatologie",,,,XXème s.,,"M. Schaerer, Berne",,719,Scie à amputation,Hôpital Cantonal Lausanne
"Orthopédie, traumatologie",,,,XXème s.,,,,718,Trépan,Hôpital Cantonal Lausanne
Chirurgie générale,,,,XXème s.,,,,390,Trépan ,Hôpital Cantonal Lausanne
"Orthopédie, traumatologie",Villebrequin à mèche carrée.,,,XXème s.,,,,686,Villebrequin,
Soins techniques,"Lot de ventouses en verre dans caisse de métal crème3 scarificateurs métal 3,5 x 4,5 cm",,,XXème s.,,,,0,Ventouses avec scarificateur,
Neurochirurgie,Boite de métal contenant divers instruments de neurochirurgie.  cf bordereau d’achat.,,Neurologie,XXème s.,Bon ,"H. Courvoisier, Genève",Métal,605,Trousse de trépanation du Dr A. Jentzer,Achat
Gynécologie,"Boîte de bois contenant:- 1 pièce principale  avec crémaillères porte-pince réglable- 1 raccord- 1 manomètre à cadran lumineux- 1 seringue Record de 10 cc- 3 cônes interchangeables en métal, de grosseurs différentes    pour l’examen de l’utérus et des trompes.",,,XXème s.,,,,106,Salpingographe ou hystérographe,
Obstétrique,"Lot d’une trentaine d’instruments variés: -12  sondes en métal de différentes tailles -  1 sonde en verre -  3 sondes boutonnées-  2 seringues -  3 speculumsayant servis aux avortements clandestins.Ce matériel a été récupéré par l’Institut de médecine légale, vraisemblablement dans les années 1930-1960.",,,XXème s.,,,,-588,Lot d’instruments,Institut médecine légale
,4 prothèses totales de hanche avec tige et cupule pour coxarthrose,,,XXème s.,,,,-584,Prothèses de hanche,"Hôpital cantonal, Genève"
Soins techniques,Appareil de métal avec accessoires:- 1 support métal- 1 embout de verre- 2 réservoirs en  plastique- 1 entonnoir- 2 supports en métalL’objet est conservé dans sa boîte d’origine (en carton). ,,Soins techniques,20e s.,Bon,Sans mention ,"Métal, verre et plastique",198,Inhalateur,
Soins d'hygiène,Poire en caoutchouc rouge munie d’un embout noir en bakélite pour douche vaginale ou irrigation,,,XXème s.,,,,640724,Douche vaginale,
Antisepsie - Asepsie,Petite armoire électrique de métal jaune munie d’un thermomètre et de deux boutons lumineux rouge et vert servant à maintenir les échantillons de sang à la température corporelle,,,XXème s.,,,,801,Etuve ,A compléter
Gynécologie,Pièce de verre en forme de boule  avec embout de verre et poire de caoutchouc pour l’application vaginale de substances dessicatives dans le but de sécher les muqueuses.Dans boîte en carton.,,,XXème s.,,"Dr Max Nassauer, Munich",,279,Siccator,
Soins techniques,Seringue de verre pour l’application de pommade oculaire,,,XXème s.,,,,581,Seringue de verre,
Soins techniques,Trousse de coton incomplète contenant:- 1 petite boîte de sparadrap- 2 cartouches dede compresses au vioforme- 1 bande de gaze hydrophile- 1 paire de ciseaux- 1 pincette - 1 petit paquet de taffetas anglais- 6 épingles de nourrice- - ,,Médecine d'urgence,XXème s.,Bon,Sans mention ,Coton,716,Trousse à pansements,
Soins techniques,"Trousse de coton beige à deux poches internes contenant divers matériel pour bandages: compresses, bandes, ouate.  ",,Médecine d'urgence,XXème s.,Bon,Sans mention ,Coton,715,Trousse de coton,
Soins techniques,"Cartouche plastique avec cylindre contenant l’insuline, pile moteur, pile électronique, dans fourre plastique noir. ",,,XXème s.,,Disetronic,,683,Pompe à insuline,"Chuv, Lausanne"
Soins techniques,"Seringue de 100 ml à cylindre de verre avec embout métal, dans caissette de bois marquée Cezerac & Soux, Marseille.",,,XXème s.,,"Sentiler, Paris",,685,Seringue en verre ,
Soins techniques,3 sondes vésicales en étain. ,,,XXème s.,bom. métal vieilli,,,785,Sondes vésicales en étain de Runge,
Chirurgie générale,"2 écarteurs:Longueur c rochet 4,5 & 5,5 cm",,,XXème s.,,,,749,Ecarteurs,
Chirurgie générale,2 trocarts dont l’un avec obturateur,,,XXème s.,,,,760,Trocart,
ORL,4 canules en argent de diverses tailles pour enfant et adulte,,,XXème s.,,,,750,Canules de trachéotomie,
Chirurgie générale,"Boîte de métal contenant un manche, 6 lames droites, 2 lames incurvées. ",,,XXème s.,"moyen, les lames sont oxydées.",,,759,Scalpels,
Chirurgie générale,Rasoir dans étui de carton noir,,,XXème s.,,,,763,Rasoir manche bakélite,
Electrothérapie,"Vibromasseur électrique avec sangles, d’après le Dr Lenneberg dans caissette rouge gainée de tissu bleu. ",,,XXème s.,,Sollux-Kleinstrahler  Original Hanau,,712,Vibromasseur,
,,,,XXème s.,,,,,Pincette,
Soins techniques,Embout en ébonite dans boîte noire gainée de velours violet,,,XXème s.,,,,762,Embout  ,Dr François Vulliet
ORL,Trocart se vissant dans étui guilloché en métal,,,XXème s.,,,,770,Trocart ,Dr François Vulliet
ORL,Bistouri nasal se vissant dans son étui de métal.,,,XXème s.,,,,771,Bistouri nasal,Dr François Vulliet
Chirurgie générale,,,,XXème s.,,,,773,Pince à ligatures ,Dr François Vulliet
Chirurgie générale,Pincette enlever les agrafes,,,XXème s.,,,,774,Pince de Reverdin,Dr François Vulliet
ORL,3 speculum de tailles différentes avec manche à batterie dans boîtier noir gainé de velours violet,,,XXème s.,,Made in England,,799,Otoscopes,
Soins techniques,"Seringue de verre de 2 ml, marquée “Omnadine” avec  chaînette pour retenir le piston et une aiguille dans étui métal. ",,,XXème s.,,,,758,Seringue de verre,
Chirurgie générale,"Petite sonde de métal avec mandrin souple se terminant par une olive, pour le tamponnement nasal ",,,XXème s.,,,,743,Sonde de Bellocq,
Diagnostic,"Appareil pour mesurer la tension ou tonomètre du Professeur Dr Gartner, d’après Riva-Rocci. Il manque les raccords, la balle pompe et l’échelle en carton graduée de 0-24 et 1-25  est déchirée en bas à droite.",,,XXème s.,,"Franz Hugerstoff, Leipzig",,662,Appareil pour  mesurer la tension,"Hôpital cantonal, Lausanne"
Chirurgie générale,2 Elévateurs de racines avec manche en ébonite,,,XXème s.,,,,7120713,Elévateur de racines,
Chirurgie générale,"Appareil à cautérisation au platine dans étui de noir  gainé de rouge, contenant:- 1 flacon avec bouchon métal marqué “benzinstand”- 1 lampe à alcool avec bouchon métal et mèche coton- 1 manche en ébonite de 16 cm- 1 petit cauère en métal à pointe fine de 13,5 cm",,,XXème s.,,"W. Margot 6 Cie, Lausanne",,786,Appareil à cautérisation au platine,
Chirurgie générale,Valise de cuir brun contenant:- 1 seringue verre-métal de 50 ml avec embout à 3 voies- 3 tuyaux de caoutchouc avec embout- 1 écarteur- 2 spatules avec manche ébonite- 1 curette double- 3 sondes vésicales - 2 scies à plâtre ,,,XXème s.,,,,723,Petite valise de cuir marquée Dr J. Roux,
Diagnostic,"Lot de 4 marteaux à réflexes à manche de métal, extrémité caoutchouc, un manche gradué en cm.",,Orthopédie,XXème s.,,,,6170517,Marteaux à réflexes,Collections privées
Diagnostic,"Lot de 3 marteaux à réflexes, manches métal et bois, extrémité caoutchouc et bakélite.",,,XXème s.,,,,660,Marteaux à réflexes,Collections privées
Pharmacologie,Boîte de métal conteannt 12 ampoules-seringues de divers médicaments,,,XXème s.,,Roche,,689,Boîte de médicaments tubunic,
Diagnostic,"Stéthoscope bi-auriculaire avec embout métal cylindrique, manque la membrane,  tuyaux de caoutchouc noir.",,,XXème s.,,,,16,Stéthoscope,
Diagnostic,"Stéthoscope monoaural tourné, démontable, en bois d’aulnes.",,,XXème s.,,,,-240,Stéthoscope,
Chirurgie générale,Boîte de métal contenant:-  2 curettes-  2 aiguilles courbées-  1 sonde courbée-  1 sonde cannelée-  3 sondes pour plaies- 1 petite boîte de métal pour aiguilles,,,XXème s.,,,,0,Instruments de chirurgie,
Diagnostic,"Stéthoscope bi-auriculaire , embout cylindrique plat, tuyaux caoutchouc noir, olives en caoutchouc durci.",,,XXème s.,,Beecham,,832,Stéthoscope,
Diagnostic,"Stéthoscope bi-auriculaire à embout cylindrique, tuyaux de caoutchouc rouge et olives en caoutchouc noir durci dans étui de cuir brun.",,,XXème s.,,Mignon,,624,Stéthoscope,
Diagnostic,"Appareil de mesure de la pression artérielle avec manchette en coton bleu, pompe et tuyaux de caoutchouc rouge dans boîte noire gainée de feutrine rouge.Caissette: Longueur 25 cm - Largeur 18 cm Hauteur 10 cm.Cet appareil a été utilisé par Mme Emilia Mourraille, infirmière-chef de l’Hôpital militaire de Bordeaux durant la guerre de 1914-1918, mère de Mme Laffite.",,,Première moitié du 20e s.,,Boulitte Paris,,803,Oscillomètre sphygmométrique du Prof. Pachon,
Diagnostic,"Appareil de mesure de la tension artérielle dans caissette de bois noire gainée de tissu bleu L 27 - L 17 - H 7 cm.Manchette de coton noir plastifié à fixation velcro, poire de caoutchouc verteCaissette en bois abîmée aux angles, fermoirs rouillés. Ne ferme plus.",,,Première moitié du 20e s.,,“Scala Alternans”  Altera D.R.P.,,734,Oscillotonometer du Dr von  Recklinghausen,
Diagnostic,"Oscillotonometer ou sphygmomanomètre  d’après Dr Hans von Recklinghausen. Appareil pour la mesure de la tension artérielle dans sa caissette de bakélite noire.Manchette plastique, fixation velcro, poire de caoutchouc rouge Boîte de chez Schaerer, Genève",,,Première moitié du 20e s.,,“Scala Alternans”  Altera D.R.P.,,670,Oscillotonometer d’après Recklinghausen,"Dr Hopf, Genève"
Diagnostic,Stéthoscope avec embouts amovibles de forme cônique et cylindrique.,,,XXème s.,,"Spengler, Paris",,15201521,Stéthoscope,
Diagnostic,"Tensiomètre Electronique Comet, Radio-Contrôlé, synonyme de sphygmomanomètre. Appareil servant à mesurer la tension superficielle en cardiologie.",,,XXème s.,,"Breveté S.G.D.G. , Lyon  ",,216,Tensiomètre électronique,Hôpital Cantonal Lausanne
Laboratoire,"Microscope monoculaire en laiton verni, pied en fer à cheval laqué noir,3 oculaires,  3 objectifs, 1 loupe,  dans caissette en bois d’acajou. Ce microscope a été utilisé par le Prof. Verdan pendant ses études de médecine (années 1930). ",,,Fin XIXème - début XXème s.,,"E. Leitz, Wetzlar",,649,Microscope ,
Soins techniques,"Cylindre en ambre du Dr H . Lampert, 1930 pour la transfusion indirecte de sang pur, marqué Echt Bernstein D.R.P.Accessoires:  2 embouts, 1 poire de caoutchouc rouge, 1 tuyau de caoutchouc rouge,1 bâton de bois pour l’homogénéisation du sang, 1 aiguille.Dans un carton noir de 36,5 x 19,5 x 5 cm.",,,XXème s.,,"Etablissements Bürkle de la Camp, Munich",,738,Appareil à transfusion,Hôpital Cantonal Lausanne
Soins techniques,"Trousse de cuir brun poortant l’inscription: ASM 16753Elle contient:10 instruments + 1 thermomètre dans une trousse de coton crème1 pincette anatomique1 paire de ciseaux1 boîte de métal avec emplâtre adhésif1 flacon de bakélite noire avec embout, contenant du mercurochrome1 cylindre de bakélite noire contenant du coton hydrophyle2 cartouches à pansement1 bande élastique12 boîte de compresse de gaze au vioform 1 boîte d’épingles de sûreté1 cylindre de métal contenant 1 seringue de 2 ml et un choix d’aiguilles8 petits compartiments à médicaments sont vides",,,XXème s.,,"R. Peter, Bern ",,626,Trousse médicale militaire (sacoche de médecin),
Laboratoire,Appareil à compter les globules sanguins d’après le Dr Nageotte composé:- d0une gellule - d’une pipette avec tuyau de caoutchouc noir et embout dans boîte carmin gainée de velours violet.,,,XXème s.,,"E. Leitz , Wetzlar",,229,Chambre de comptage,"Institut de physiologie,Lausanne"
Laboratoire,Hémomètre avec accessoires dans boîte carmin gainée de velours violet.,,,XXème s.,,Résistance,,675,Hémomètre ,
Laboratoire,Appareil à compter les globules sanguins :- chambre à nombrer combinée avec 2 pipettes et 2 embouts.dans boîte carmin gainée de velours violet.,,,XXème s.,,"E. Leitz, Wetzlar ",,233,Hémocytomètre d’après Metz,
Laboratoire,"A compléter, dictionnaire scientifique médical pas trouvé",,,XXème s.,,"E. Spengler, Paris",,864,Chromoscope néphrométrique,
Laboratoire,Bocal de verre avec couvercle métal marqué: Chirurgie Femmes Dcontenant des petits tubes de plastique de 1 ml marqués Malgène pour prélèvements sanguins. ,,,XXème s.,,,,0,Bocal de verre avec couvercle métal,Hôpital Cantonal Lausanne
Laboratoire,ajouter détails matériel dans boîte noire gainée de rouge marqué MF ,,,XXème s.,,,,625,Matériel de laboratoire,
Laboratoire,"16 tubes de verre de différents diamètres pour l’application de neige carbonique, dans boîte de bois clair: 21 x 15 x 4,5 cm.",,,XXème s.,,Hausmann A.G. St-Gall,,82,Tubes de verre ,"Dr Henri Smolik, Veytaux/Montreux"
Diagnostic,"Tonomètres d’après le Dr von Recklinghausen, cadran gradué en cm Wasser = g/qcm de 0 - 400, dans étui de cuir brun.Incomplet: manque tuyau et pompe.",,,XXème s.,,"J.A. Bosch, Strassburg",,87,Tonomètre ,"Dr Henri Smolik, Veytaux/Montreux"
Laboratoire,"Colorimètre à glycémie dans caissette de bois de 17 x 10,5 x 10 cm",,,XXème s.,,Zeiss Ikon,,593,Colorimètre pour la glycémie,
Laboratoire,Centrifuge électrique en aluminium avec support  pour 2 éprouvettes,,,XXème s.,,,,42,Centrifugeuse électrique,
Laboratoire,"Centrifugeuse manuelle en fonte, face postérieure et côtés peints en rouge, support pour 2 éprouvettes en métal, marquée Wagner & Munz, München.",,,XXème s.,,"J . Tobler, /Wagner & Munz Munich",,600,Centrifugeuse manuelle,
,"Appareil électrique pour le dosage de l’hémoglobine dans boîte bleue gainée de plastique crème, marquée Hellige",,,XXème s.,,"Fritz Hellige & Co, Fribourg en  Breisgau",,589,Spectro-Hémomètre,Hôpital d’Aigle
Diagnostic,Lot de 5 thermomètres de différentes tailles et époques. Le plus ancien dans un étui noir gainé de velours violet est marqué “O.Richter”  St-Petersburg.,,,XXème s.,,,,91,Thermomètres,"Mme Tatiana Thillot, ChuvMusée des écoles, Yverdon"
Laboratoire,"2 urinomètres du Dr Ultzmann, gradués de 1.010 à 1.060, température 15° Celsius. ",,,XXème s.,,Hausmann,,-587,Urinomètres,"Mme Anne Egli-Décombaz, Zurich"
Diagnostic,"Lot de 13 abaisse-langues6 en métal de 15 cm 2 en métal de 18 cm1 en corne de 12 cm3 en plexiglas de 19 cm, manche de couleur1 en plastique de 14,5 cm ",,,XXème s.,,,,0,Abaisse-langues,Collections privées
Laboratoire,2 Brûleurs à gaz utilisés en laboratoire.,,,XXème s.,,,,2220223,Bec de Bunsen avec cône,"Institut de physiologie, Lausanne"
Laboratoire,"Sphymomanomètre d’après le Prof. Dr. Sahli- 1tube en forme de U avec embout contenant du Hg,  - 1thermomètre- 1 pipette- 1 tube fermé par un bouchon contenant du Hgdans boîtier noir gainé de tissu violet.",,,XXème s.,,"E. F. Büchi & Söhne, Bern",,679,Sphygmomanomètre Sahli,
Diagnostic,"Oscillotonomètre ou sphygmomanomètre de Recklinghausen . Appareil pour la mesure de la tension artérielle, manchette en tissu gris, fixation velcro, poire en caoutchouc rouge, dans caissette en bakélite marron. ",,,Vers 1920,,,,569,Oscillotonomètre,Hôpital Cantonal Lausanne
Laboratoire,"Minuterie de laboratoire composée:- d’un cadran avec aiguille, numéroté de 0 à 30 minutes, avec sonnerie et élément de démarrage fixé sur une planchette de bois peinte en brun. ",,,XXème s.,,,,722,Minuterie,
Thérapeutique,Pied de plâtre avec illustrations  des points d’acupuncture.,,,XXème s.,,,,732,Pied de plâtre pour acupuncture,
Thérapeutique,Main de plâtre avec illustrations des points d’acupuncture.,,,XXème s.,,,,733,Main de plâtre pour acupuncture,
Diagnostic,"Lot de tabelles de papier illustrant les points d’acupuncture des  parties du corps utilisées dans diverses pathologies Années 1949-1958, Paris, Lausanne",,,XXème s.,bon,,,596,Tabelles pour l’acupuncture,
Diagnostic,"Appareil en  métal avec système enregistreur graphique et accessoire en cuir + petite pièce de métal pour fixer au poignet, dans boîte noire gainée de gris marquée à l’intérieur Dr. med. Th. Schaeppi, Zurich. ",,,Vers 1910,,,,61,Sphygmomanomètre,"Dr Henri Smolik, Veytaux/Montreux"
Diagnostic,"Thermomètre “à la seconde” gradué de 30 à 42° Celsius, cordon et raccord + batteries dans boîtier en bakélite ivoire, dans étui de cuir brun.",,,XXème s.,,,,22,Thermomètre ,"Dr Henri Smolik, Veytaux/Montreux"
Anesthésiologie,"Grand masque d’anesthésie avec manche, sans filet",,,XXème s.,,,,843,Masque d’anesthésie,
Anesthésiologie,Masque d’anesthésie en métal chromé d’après le Dr Roth - Dräger,,,XXème s.,,Eppendorfer Narkosenmask e Eppendorf-Hamburg,,85,Masque d’anesthésie,"Dr Henri Smolik, Veytaux/Montreux"
Anesthésiologie,"Masque d’anesthésie en métal chromé, sans filet.",,,XXème s.,,,,101,Masque d’anesthésie,"Dr Henri Smolik, Veytaux/Montreux"
Anesthésiologie,"4 masques en métal chromé, 2 avec lanières, 1 avec boucles.",,,XXème s.,,Carba,,102010301040105,Masques d’anesthésie,
Anesthésiologie,"Masque d’anesthésie en métal chromé, sans filet",,,XXème s.,,,,818,Masque d’anesthésie,
Anesthésiologie,"Masque à chloroforme en métal chromé, sans filet.",,,Première moitié du 20e s.,,,,777,Masque d’anesthésie,"Dr François Vulliet, Lausanne"
Anesthésiologie,Masque d’anesthésie à filet.,,,XXème s.,,,,776,Masque d’anesthésie,"Dr François Vulliet, Lausanne"
Anesthésiologie,"Masque d’anesthésie en métal nickelé, sans filet.",,,XXème s.,,,,842,Lot de trois masques d’anesthésie,"Service d’hygiène de la ville, Lausanne"
Anesthésiologie,Masqaue d’anesthésie pliable avec crochet.,,,XXème s.,,,,653,Masque d’anesthésie,"Service d’hygiène de la ville, Lausanne"
Anesthésiologie,Masque d’anesthésie à chloroforme pour enfant.,,,XXème s.,,,,327,Masque d’anesthésie,
Anesthésiologie,2 masques d’anesthésie pliables avec crochet en métal chromé.,,,XXème s.,,,,775,Masque d’anesthésie,"Dr François Vulliet, Lausanne"
Anesthésiologie,Masque d’anesthésie à chloroforme pour enfant.,,,XXème s.,,,,318,Masque d’anesthésie,
Anesthésiologie,"Grand masque d’anesthésie avec manche, gaze et couverture plastique.",,,XXème s.,,,,661,Masque d’anesthésie,Hôpital Cantonal Lausanne
Anesthésiologie,"Petit flacon de verre brun pour l’anesthésie, forme ovale avec bouchon de liège recouvert d’argent à 2 robinets.",,,XXème s.,,,,783,Flacon à chloroforme,"Dr François Vulliet, Lausanne"
Thérapeutique,"Lampe baladeuse en métal cerclée de bois clair, manche en bois noir. ",,,XXème s.,,,,138,Lampe de thermothérapie,"Dr Henri Smolik, Veytaux/Montreux"
,"-Sphygmomanomètre d’après Prof. Dr. Shali 1 tube en verre, forme de U avec embout à robinet, bouchon et  tuyau de      caoutchouc rouge - 2 pipettes dont 1 graduée- 1 petit flacon de verre à bouchon de liège rempli de Hgdans boîtier noir gainé de velours rouge.",,,XXème s.,,"F. Büchin & Sphn, Bern",,63,Taschen-Manometer nach Prof. Dr Sahli,"Mme Anne Egli-Décombaz, Zurich"
Electrothérapie,"Appareil d’électrothérapie, générateur haute fréquence avec accessoires, dans caissette de bois brun.",,,XXème s.,,"C. Erbe, Tübingen",,80,Appareil d’électrothérapie,"Mme Anne Egli-Décombaz, Zurich"
Thérapeutique,"Appareil électrique à rayons violets, manche en bakélite, 6 accessoires en verre et métal dans caissette de bois gainée de velours rouge ",,,XXème s.,,Mobil,,610,Appareil à rayons-violets,"Service de la santé publique, Lausanne"
Thérapeutique,Appareil d’électrothérapie dans petite boîte en acajou poli.Choix d’ électrodes dans tiroir latéral:- un fil électrique gainé de tissu vert à deux embouts en forme d’aiguille- un fil électrique gainé de tissu rouge à deux embouts en forme d’aiguille- 2 poignées en bois- 5 électrodes différentes- 1 cylindre métallique- petite pièce tres oxydée (?)- 3 bâtonnets de metal très oxydés - s’effritent!!!,,,XXème s.,moyen,,,78,Appareil d’électrothérapie,"Mme Anne Egli-Décombaz, Zurich"
Soins techniques,"Appareil électrique avec 4 thermocautères de différentes tailles,caisse en métal blanc couvercle et partie inférieure noirs.",,,XXème s.,,Gulle,,731,Appareil d’électrothérapie,
Electrothérapie,Appareil électro-cinésique-vasculaire dans petite trousse de poche  marron avec accessoires et livret d’instruction ,,,XXème s.,,"Ch. Chardin, Paris",,669,Appareil électro-cinésique-vasculaire,
