ID,Image,Title,Category,Domain,Matching,Description,Documentation,Date,Condition,Creator,Materials,Origin
79,0079.jpg,Ophtalmoscope,Ophtalmologie,Ophtalmologie,3015,"Ophtalmoscope avec manche en bois et loupe. Porte la mention “J. Felder Augen-Optik, Zürich, Theaterstr. 6” - j’ai peut être identifié ce magasin, qui a ouvert ses portes en 1920. On peut donc faire une hypothèse de datation: pas avant 1920.",,20e s.,bon,,,
85,0085.jpg,Masque d’anesthésie,Anesthésiologie,,46,Masque d’anesthésie en métal chromé d’après le Dr Roth - Dräger,,XXème s.,,Eppendorfer Narkosenmask e Eppendorf-Hamburg,,"Dr Henri Smolik, Veytaux/Montreux"
85,0085.jpg,Coussin rond en caoutchouc,Soins d'hygiène,Soins techniques,72,Coussin rond en caoutchouc utilisés chez les malades alités pendant une longue période pour éviter les escarres.,,XXème s.,Bon,Sans mention,Caoutchouc,
87,0087.jpg,Tonomètre,Diagnostic,,40,"Tonomètres d’après le Dr von Recklinghausen, cadran gradué en cm Wasser = g/qcm de 0 - 400, dans étui de cuir brun.Incomplet: manque tuyau et pompe.",,XXème s.,,"J.A. Bosch, Strassburg",,"Dr Henri Smolik, Veytaux/Montreux"
89,0089.jpg,Trousse chirurgicale ambulatoire,Chirurgie générale,,450,"Caissette de bois contenant:Dans le couvercle 6 instruments pour la petite chirurgie:- 1 rasoir, 1 grande pincette anatomique, 1 petite pincette anatomique, 3 bistouris de tailles différentes  - Dans le corps de la caissette:- 5 flacons de verre avec bouchons en verre et métal pour divers produits- 1 lot de pipettes",,XXème s.,,,,"Dr Henri Smolik, Veytaux/Montreux"
90,0090.jpg,Diapasons Hartmann C2-C4,ORL,,458,"Jeu incomplet de trois diapasons, modèle Hartmann, dans un étui noir gainé de de velours rouge:- C2      512- C3    1024- C4   2048",,XXème s.,,"H. Pfau, Berlin",,
91,0091.jpg,Thermomètres,Diagnostic,,40,Lot de 5 thermomètres de différentes tailles et époques. Le plus ancien dans un étui noir gainé de velours violet est marqué “O.Richter”  St-Petersburg.,,XXème s.,,,,"Mme Tatiana Thillot, ChuvMusée des écoles, Yverdon"
94,0094.jpg,"Diapason A 108,75",ORL,,458,,,XXe siècle,,"Edelmann , München",,
95,0095.jpg,"Diapason C 32 avec curseurs, modèle français",ORL,,458,,,XXe siècle,,Doppel Contra,,
96,0096.jpg,"Diapason Lucae C 128 avec curseurs démontables, réglable jusqu’à H",ORL,,458,,,XXe siècle,,,,
97,0097.jpg,"Diapason C 16 avec curseurs, modèle français",ORL,ORL,458,,,XXe siècle,,Doppel Contra,,
98,0098.jpg,Diapason C 128,ORL,,458,,,XXe siècle,,Klein,,
101,0101.jpg,Masque d’anesthésie,Anesthésiologie,,46,"Masque d’anesthésie en métal chromé, sans filet.",,XXème s.,,,,"Dr Henri Smolik, Veytaux/Montreux"
102,0102.jpg,Masque d’anesthésie,Anesthésiologie,,46,Masque d’anesthésie en métal.,,,bon.,,,
103,0103.jpg,Masque d’anesthésie,Anesthésiologie,,46,Masque d’anesthésie en métal avec cordon.,,,bon.,Carba,,
104,0104.jpg,Masque d’anesthésie,Anesthésiologie,,46,Masque d’anesthésie avec cordon.,,,bon.,Carba,,
105,0105.jpg,Masque d’anesthésie,Anesthésiologie,,46,Masque d’anesthésie en métal.,,,bon.,Carba,,
106,0106.jpg,Salpingographe ou hystérographe,Gynécologie,,456,"Boîte de bois contenant:- 1 pièce principale  avec crémaillères porte-pince réglable- 1 raccord- 1 manomètre à cadran lumineux- 1 seringue Record de 10 cc- 3 cônes interchangeables en métal, de grosseurs différentes    pour l’examen de l’utérus et des trompes.",,XXème s.,,,,
107,0107.jpg,Aiguille de Reverdin,"Orthopédie, traumatologie",,457,,,XXème s.,,Medicon,,
108,0108.jpg,Gouge,"Orthopédie, traumatologie",,457,,,XXème s.,,Aesculap,,
109,0109.jpg,Passe-fils,"Orthopédie, traumatologie",,457,1 passe-fil ou guide-fil droit et gauche,,XXème s.,,,,
110,0110.jpg,Rugine,"Orthopédie, traumatologie",,457,,,XXème s.,,Gentile,,
111,0111.jpg,Burin,"Orthopédie, traumatologie",,457,,,XXème s.,,Gentile,,
112,0112.jpg,Pince-gouge,"Orthopédie, traumatologie",,457,,,XXème s.,,,,
113,0113.jpg,Burins,"Orthopédie, traumatologie",,457,,,XXème s.,,Kifa,,
115,0115.jpg,Porte-aiguilles,"Orthopédie, traumatologie",,457,,,XXème s.,,Pharmap,,
116,0116.jpg,Ostéotome,"Orthopédie, traumatologie",,457,,,XXème s.,,Gentile,,
117,0117.jpg,Gouge,"Orthopédie, traumatologie",,457,,,XXème s.,,Schaerer,,
118,0118.jpg,Seringue,Chirurgie générale,,450,Seringue en métal avec réservoir gradué en verre. Pompe en métal. 2 aiguilles. Protège-aiguille. Etui en métal.,,,bon.,Socorex,,
123,0123.jpg,Lancette avec étui,Chirurgie générale,,450,Etui en métal avec lancette et instrument pour prendre une goutte de sang. Sur le couvercle de la boîte: “Martin Kepatex”Sure la lancette “etui lancette Felix &Flück Brevet”Sur l’instrument pour le sang “Paten Angem”,,,bon.,,,
124,0124.jpg,Rectoscope ou anuscope,Endoscopie,,3003,,,XXème s.,,Schaerer S.A.,,"Mme Anne Egli-Décombaz, Zurich"
141,0141.jpg,Béquilles,"Orthopédie, traumatologie",,457,Paire de béquilles de bois pour enfants avec revêtement moleskine.,,XXème s.,,,,Diaconie de Vevey
145,0145.jpg,Nivelliertrapez ou goniomètre trapézoïdal,"Orthopédie, traumatologie",,457,"“Nivelliertrapez” d’après de Dr W. Schultess, pour la mesure des torsions dorsales ou gibbosités.Cet instrument a été utilisé par le Dr Charles Albert Scholder (1861-1918) père du Prof. d’orthopédie (Jean)-Charles Scholder. ",,Fin XIXème s.,,,,
146,0146.jpg,Goniomètre,"Orthopédie, traumatologie",,457,Goniomètre à deux branches et cadran à double graduation pour la mesure des angles en orthopédie.,,Fin XIXème s.,,,,
148,0148.jpg,Stéthoscope monoaural,Diagnostic,,40,,,20e s.,Bon,Sans marque,,
150,0150.jpg,Tire-lait “Aspirateur de Tourtier”,Obstétrique,Pédiatrie,3009&456,Appareil de verre avec pièces métalliques pour aspiration du lait chez les mères qui allaitent.,,XXème s.,Bon,"Tourtier, Paris ","Verre, caoutchouc, métal",Hôpital Cantonal Lausanne
151,0151.jpg,Trousse de pharmacie,Pharmacie,Pharmacie - Pharmacologie,160,Boîte en métal avec 12 flacons. Notice pour emplâtre animal “K.B. Privilegirter Kleb-Taffet.”,,,bon.,,,
153,0153.jpg,Recto-sygmoïdoscopes,Endoscopie,,3003,"Matériel de recto-sigmoïdoscopie comprenant:4 tubes de 38 - 33 cm - 28 cm - 23 cm  avec  mandrins, 2 oculaire, cordon électrique et lampes pour éclairage interne dans caissette de bois  recouverte de papier auto-collant brun. ",,XXème s.,mauvais,"Georg Wolf, Berlin",,Hôpital Cantonal Lausanne
160,0160.jpg,Broc pour la toilette,Soins d'hygiène,Santé publique,72,"Pot à eau émaillé, blanc bordé de bleu, avec anse, capacité de 2,5lt. L’autocollant de la marque est collé sur l’un des côtés du pot. ",,20e s.,Bon,"Merker, Switzerland",Email,Hôpital Cantonal Lausanne
162,0162.jpg,Petit pot gradué,Soins d'hygiène,Santé publique,72,Petit pot gradué de 500 ml avec bec verseur.,,XXème s.,Relativement bon,Sans mention,Email,Hôpital Cantonal Lausanne
163,0163.jpg,Pot de Chambre pour enfant,Soins d'hygiène,Santé publique,72,"Pot de chambre cylindrique pour enfant, avec un anse, en émail blanc au bord bleu.",,20e s.,Bon,Sans mention,Email,Hôpital Cantonal Lausanne
164,0164.jpg,Bassin de lit rond pour adulte,Soins d'hygiène,Santé publique,72,"Bassin de lit rond avec anse, en émail blanc à bord bleu. Un petit autocollant est placé sur le bord. Il s’agit d’un pichet blanc contenant la lettre Z sur un fond bleu. ",,20e s.,Bon,“Z”,Email,Hôpital Cantonal Lausanne
165,0165.jpg,Bassin réniforme,Soins techniques,Soins techniques,72,"Bassin de forme irrégulière en métal émaillé à bords bleus pour réfection des pansements.L’objet porte le label de la marque. Il est illisible mais on distingue les lettres: M,L,G, Co. ",,XXème s.,Bon,?,Email,Diaconie de Vevey
166,0166.jpg,Cuvette en émail,Soins d'hygiène,Soins techniques,72,Cuvette en émail blanc bordée de bleu. Fabricant: Sous la cuvette on peut voir un caducet au-dessus duquel est inscrit le chiffre 65. Le diamètre est également inscrit: 16 cm.,,XXème s.,Bon,Sans mention,Email,Diaconie de Vevey
167,0167.jpg,Marteau à réflexe,Diagnostic,,40,,,20e s.,,Sans marque,,
169,0169.jpg,Urinal en porcelaine pour femme,Soins d'hygiène,Santé publique,72,Urinal en forme de lampe à huile utilisé lorsque les patientes ne peuvent pas s’asseoir.,"- Bordereau de versement du 23 août 1990, classeur “Instruments, Appareils”.",20e s.,Bon,"S. Maw Son & Sons London, Trade Mark",Porcelaine,Diaconie de Vevey
170,0170.jpg,Broc à lavement,Soins d'hygiène,Soins techniques,72,"Broc à lavement blanc avec bord noir d’une capacité de 1,5l. ",,XXème s.,Bon,Merker,Email,Hôpital Cantonal Lausanne
172,0172.jpg,Bassin de lit,Soins d'hygiène,Santé publique,72,Bassin de lit allongé pour être glissé sous le dos du patient. En dessous de l’objet on distingue l’écusson d’une marque: il s’agit d’un Z inscrit dans un pichet. Cette marque reste non-identifiée.,,XXème s.,Bon,“Z” ?,Email,Diaconie de Vevey
174,0174.jpg,Bouillote en métal,Soins d'hygiène,Soins techniques,72,Bouillotte cylindrique en métal.,,XXème s.,Bon,Sans mention,Métal,Diaconie de Vevey
175,0175.jpg,Thermocautère,Chirurgie générale,,450,"Thermocautère électrique à courant alternatif avec ses accessoires, dans caissette de bois brun ",,XXème s.,,,,"Mme Anne Egli-Décombaz, Zurich"
182,0182.jpg,Pince à  polypes,ORL,,458,,,XXème s.,,,,"Dr Eric Rochat, St-Légier"
184,0184.jpg,Élévateur pour racines,,,27,Élévateur pour racines en métal. Manche.  Appui doigt. Tête inclinée à curette.,,,bon.,,,
185,0185.jpg,Ouvre-bouche,ORL,,458,,,XXème s.,,,,
186,0186.jpg,Davier,,,27,"Davier, forme anglaise, pour racines supérieures (selon catalogue Schaerer) ",,,bon.,"W. Margot-Humbert, Lausanne",,
187,0187.jpg,Miroir laryngien articulé,ORL,,458,,,XXème s.,,,,"Hôpital Cantonal Lausanne, Clinique ORL"
188,0188.jpg,Sonde à goître,Chirurgie générale,,450,Sonde à goître de Kocher (selon catalogue Schaerer).,,,bon.,Klüffr,,
195,0195.jpg,Pinces,Chirurgie générale,,450,2 pinces chirurgicales.,,,bon.,,,
197,0197.jpg,Tire-lait ou pompe à lait,Obstétrique,Obstétrique,456&3009,Récipient de verre s’ouvrant sur un pavillon avec embout pour raccorder le tuyau de caoutchouc rouge et la pompe en métal de Dans carton d’origine rouge Longueur 24cm - Profondeur 9cm -  Hauteur 8cm,Catalogue Perret n°7 p. 59,XXème s.,,Original Primissima D.R.G.M.,,
198,0198.jpg,Inhalateur,Soins techniques,Soins techniques,72,Appareil de métal avec accessoires:- 1 support métal- 1 embout de verre- 2 réservoirs en  plastique- 1 entonnoir- 2 supports en métalL’objet est conservé dans sa boîte d’origine (en carton).,,20e s.,Bon,Sans mention,"Métal, verre et plastique",
203,0203.jpg,Boîte de 12 ventouses pneumatiques sans feu,Soins techniques,Soins techniques,72,"Ventouses en verre avec dispositif métallique et pompe en métal permettant de faire le vide d’air. Une capsule ronde en caoutchouc est placée sous le dispositif métallique. Il existe deux tailles de ventouses différentes, les plus grandes mesurent 6,5 cm de hauteur et  6,5 cm de diamètre et pèsent 80 g tandis que les plus petites mesurent 6 cm de hauteur et 5 cm de diamètre et pèsent 60 g. Les ventouses et la pompe sont disposées dans une boîte en carton. ",,20e s.,Bon à l’exception de la boîte en carton.,Star,"Verre, métal et caoutchouc",Marché aux puces Genève
204,0204.jpg,Sphygmomanomètre,Diagnostic,,40,"Sphygmonamomètre. Inscription: “Dr. Dudgeons. Sphygmograph. J. Ganter Maker. 12 Crauford Street. London. W. No 139”La sphygmologie (du grec spygmos, le battement) figure parmi les plus anciens modes de diagnostic dans toutes les cultures, aussi bien égyptienne, grecque, arabe, indienne et chinoise qu’occidentale. Le pouls est non seulement considéré comme signe évident de vie, mais encore comme un indicateur précieux de maladie.  Les premiers appareils enregistreurs de pouls sont introduits par Karl von Vierordt (1853) et Etienne-Jules Marey (1859) Lourds et encombrants, ils sont perfectionnés plusieurs fois jusqu’en 1881, année où le médecin homéopathe anglais Robert Ellis Dudgeon (1820-1904), conçoit un appareil sensible et compact, qui se fixe facilement au poignet par un lacet. L’instrument est composé d’une série de leviers amplifiant les pulsations de l’artère radiale et les transmettant à une aiguille grattant un papier fumé de 15 cm x 2,5 cm tiré par un mouvement d’horloge mécanique et défilant en dix secondes. Le cadran, gradué en ounces, permet de régler la pression exercée sur l’artère par le levier, sans écraser le pouls.",,1881,bon.," J. Ganter Maker, London",,
205,0205.jpg,Brocs à lavement,Soins d'hygiène,Santé publique,72,Broc à lavement en émail blanc avec bordure bleue.,,XXème s.,Bon,Sans mention,Email,Hôpital Cantonal Lausanne
206,0206.jpg,Bassin de lit,Soins d'hygiène,Santé publique,72,"Bassin de lit pour femme, en émail. Utilisé pour les patientes devant rester couchées sur le dos.",,XXème s.,Bon,Sans mention,Email,Diaconie de Vevey
211,0211.jpg,Cranioclaste,Obstétrique,,456,,,XXème s.,,,,"Dr Eric Rochat, St-Légier"
216,0216.jpg,Tensiomètre électronique,Diagnostic,,40,"Tensiomètre Electronique Comet, Radio-Contrôlé, synonyme de sphygmomanomètre. Appareil servant à mesurer la tension superficielle en cardiologie.",,XXème s.,,"Breveté S.G.D.G. , Lyon  ",,Hôpital Cantonal Lausanne
241,0241.jpg,Miroir O.R.L.,ORL,,458,"Miroir réflecteur de Turk pour examen O.R.L. , avec bandeau frontal dans sa boîte noire gainée de tissu rouge.L20 x P13 x H4 cm",,XXème s.,,"W. Margot, Lausanne",,
246,0246.jpg,Abaisse-langue,Diagnostic,,40,Abaisse langue en métal chromé.,,XXème s.,,,,
246,0246.jpg,,Diagnostic,,40,,,,,,,
248,0248.jpg,Pince coupante pour le nez,ORL,,458,,,XXème s.,,,,
249,0249.jpg,Trocart,Obstétrique,,456,,,XXème s.,,,,
250,0250.jpg,Mandrins,Gynécologie,,456,"Lot de 15 mandrins de Hegar en verre opale, marqués de 6 - 26 mm, pour la dilatation du col utérin.  ",,XXème s.,,,,
251,0251.jpg,Speculums en porcelaine,Gynécologie,,456,Jeu de 4 speculums en porcelaine  pour la dilatation du col utérin.,,XXème s.,,,,
252,0252.jpg,Speculum de Collin,Gynécologie,,456,,,XXème s.,,W. Margot-Humbert,,
253,0253.jpg,Perforateur de Rapin,Obstétrique,,456,,,XXème s.,,Hausmann St-Gallen,,
254,0254.jpg,Cranioclaste,Obstétrique,,456,"Cranioclaste de Gessner en métal nickelé appelé aussi céphalotribe, instrument servant à réduire la tête du foetus.",,XXème s.,,"Haussmann, St-Gallen",,
255,0255.jpg,Hystéromètre,Gynécologie,,456,Hystéromètre ou sonde utérine.,,XXème s.,,,,
256,0256.jpg,Porte-coton,Gynécologie,,456,,,XXème s.,,,,
258,0258.jpg,Sondes intra-utérines de Fritsch,Gynécologie,,456,,,XXème s.,,,,
259,0259.jpg,Pince à griffes,Gynécologie,,456,Pince à abaissement à 2 griffes avec arrêt coulissant.,,XXème s.,,,,
259,0259.jpg,Curettes tranchantes,Gynécologie,,456,Lot de 3 curettes tranchantes,,XXème s.,,,,
260,0260.jpg,Speculum,Gynécologie,,456,"2 spéculums de Schwarzenbach, intérieur et extérieur polis, en métal chromé.",,XXème s.,,,,
261,0261.jpg,Perforateur de Siebold,Obstétrique,,456,Perforateur de Siebold en forme de ciseaux.,,XXème s.,,"Hausman, St-Gallen",,
264,0264.jpg,Broc à lavement,Soins d'hygiène,Soins techniques,72,"Broc à lavement en verre dans support en métal cuivré avec anse, gradué jusqu’à 1L.",,XXème s.,Bon,"Russenberger, Zurich",Verre et métal cuivré,
269,0269.jpg,Bassin de lit en porcelaine,Soins d'hygiène,Soins techniques,72,Bassin de lit en porcelaine utilisé chez les femmes devant rester alitées sur le dos.,,XXème s.,Bon,C&Cie,Porcelaine,Hôpital Cantonal Lausanne
271,0271.jpg,Masques de protection contre la grippe,Soins d'hygiène,,72,"Masques en coton et gaze hydrophyles , forme ovale avec 2 lacets dans leur emballage original. Prix d’achat indiqué sur l’emballage: Fr. 1.204 masques emballés et 1 déballé",,XXème s.,,"Schweizer Verbandstoff & Wattefabriken AG, Flawil",,
277,0277.jpg,Speculums,Gynécologie,,456,Jeu de speculums divers en métal chromé et nickelé,,XXème s.,,,,"Dr Eric Rochat, St-Légier"
279,0279.jpg,Siccator,Gynécologie,,456,Pièce de verre en forme de boule  avec embout de verre et poire de caoutchouc pour l’application vaginale de substances dessicatives dans le but de sécher les muqueuses.Dans boîte en carton.,,XXème s.,,"Dr Max Nassauer, Munich",,
281,0281.jpg,Crachoir avec couvercle,Soins d'hygiène,Santé publique,72,Crachoir en métal émaillé blanc à bords bleus avec anse et couvercle.,,20e s.,Bon,Sans mention,Email,Hôpital Cantonal Lausanne
286,0286.jpg,Trousse de chirurgie ambulatoire,Chirurgie générale,,450,"Trousse de coton  marqués + A S M + J.B. 41, contenant:- 1 bistouri - 1 paire de ciseaux ronds- 1 paire de ciseaux pointus- 1 sonde vésicale- 2 otoscopes - 1 bobine de soie dans un cylindre de métal- 1 porte-aiguilles- 1 pince de Kocher- 1 boîte d’aiguilles à suture",,XXème s.,,,,
287,0287.jpg,Broc à lavement,Soins d'hygiène,Soins techniques,72,"Broc à lavement en verre dans support en métal cuivré avec anse, gradué de 500 ml à 1L.",,XXème s.,Bon,"Russenberger, Zurich",Verre et métal cuivré,
288,0288.jpg,Urinal en verre,Soins d'hygiène,Soins techniques,72,,,XXème s.,Bon,Sans mention,Verre,
289,0289.jpg,Bassin de lit avec couvercle,Soins d'hygiène,Santé publique,72,"Bassin de lit avec poignée et couvercle, en zinc.",,XXème s.,Bon,Sans mention,Zinc,Collections privées
297,0297.jpg,Sonde,Chirurgie générale,,450,Sonde en forme de “S”.,,,bon.,,,
298,0298.jpg,Sonde,Chirurgie générale,,450,,,,bon.,,,
299,0299.jpg,Attelles d’enfants,"Orthopédie, traumatologie",,457,"Lot de 3 attelles en cuir, bois et métal.",,XXème s.,,,,"Dr Eric Rochat, St-Légier"
301,0301.jpg,Davier pour os,Chirurgie générale,,450,Davier pour os (selon catalogue Schaerer).,,,bon.,,,
302,0302.jpg,Daviers et élévateurs de racines,Chirurgie générale,,450,Jeu de 11 daviers de forme anglaise avec articulations rondes et  2 élévateurs pour racines,,XXème s.,,,,"Dr Marcel Cevey, Epalinges"
307,0307.jpg,Davier,,,27,Davier pour incisives supérieurs et prémolaires (selon catalogue Schaerer),,,moyen.,Hausmann,,
308,0308.jpg,Daviers,,,27,"1 davier pour molaires, 1 davier pour racines (selon catalogue Schaerer)",,,1 bon. 1 moyen avec rouille.,Hausmann,,
309,0309.jpg,Daviers,,,27,"2 daviers pour molaires, 1 davier pour dents de sagesse supérieures (selon  catalogue Schaerer)",,,bon.,,,
310,0310.jpg,Daviers,,,27,"2 daviers universels de Rauhe, 1 davier pour prémolaires supérieures (selon catalogue Schaerer)",,,2 bon. 1 moyen rouillé.,,,
311,0311.jpg,Daviers,,,27,"1 davier pour racines inférieures (selon catalogue Schaerer), 2 daviers tête à angle droit avec bouts arrondis",,,1 bon. 2 moyen rouillés,,,
312,0312.jpg,Davier,,,27,Davier pour molaires inférieures ou dents de sagesse inférieures (selon catalogue Schaerer),,,bon.,Waeber,,
313,0313.jpg,Davier,,,27,Davier universel (d’après catalogue Schaerer),,,moyen. rouille.,,,
314,0314.jpg,Davier,,,27,Davier pour dents de sagesse inférieures ou molaires inférieures (selon catalogue Schaerer).,,,moyen.,Hausmann,,
315,0315.jpg,Davier,,,27,Davier pour racines (selon catalogue Schaerer),,,moyen.,Hausmann,,
318,0318.jpg,Masque d’anesthésie,Anesthésiologie,,46,Masque d’anesthésie à chloroforme pour enfant.,,XXème s.,,,,
327,0327.jpg,Masque d’anesthésie,Anesthésiologie,,46,Masque d’anesthésie à chloroforme pour enfant.,,XXème s.,,,,
340,0340.jpg,amygdalotome,,ORL,458,,,,Bon,Sans marque,,
390,0390.jpg,Trépan,Chirurgie générale,,450,,,XXème s.,,,,Hôpital Cantonal Lausanne
395,0395.jpg,Pince,Chirurgie générale,,450,pince à bouts triangulaires vides,,,bon.,,,
397,0397.jpg,Pince,Chirurgie générale,,450,,,,bon.,"M. Schaerer A.G., Bern",,
398,0398.jpg,Pince,Chirurgie générale,,450,,,,moyen. rouille.,Klöpfer,,
399,0399.jpg,Porte-aiguille,Chirurgie générale,,450,Porte-aiguille (selon catalogue Schaerer).,,,bon.,,,
403,0403.jpg,Pince,Chirurgie générale,,450,,,,bon.,"M. Schaerer A.G., Bern",,
404,0404.jpg,Ciseaux,Chirurgie générale,,450,,,,bon.,"Collin, France",,
406,0406.jpg,Pince,Chirurgie générale,,450,pince à embout recourbé,,,moyen. rouille.,,,
416,0416.jpg,Pince à ongles,Chirurgie générale,,450,,,XXème s.,,,,
422,0422.jpg,A identifier,Chirurgie générale,,450,"Lot de 10 instruments de chirurgie générale à identifier. - petit pot en métal “JMMUNITAS”- 2 boucles en tire-bouchon- fil en boucle- trocart (?)- spatule/abaisse-langue (?)- instrument à tête courbée percée “dascher stainless”- instrument à tête pointue “cutistyle-paul. Biopharma, Wien.”- tige à tête courbée en vis, boucle à la base- embout à tête en vis avec molette à la base",,,bon.,,,
423,0423.jpg,Abaisse-langue ou spatule à emplâtre,Chirurgie générale,,450,,,,bon.,Hausmann,,
429,0429.jpg,Écarteurs,Chirurgie générale,,450,Petits écarteurs.,,,bon.,"Haslam, USA",,
435,0435.jpg,Pince hémostatique,,ORL,458,,,20e s.,Bon,Luer France,,
